Page,Register Number,Register Name,Register Address,Register Value
0,Register 36,ADC FLAGS,0x24,0x00
0,Register 37,DAC POWER AND HPLCOM DRIVER CONTROL,0x25,0xC0
0,Register 38,HIGH POWER OUT DRIVER CONTROL,0x26,0x00
0,Register 39,RESRVED,0x27,0x00
0,Register 40,OUTPUT DRIVER CM SETTING & SOFT STEPPING,0x28,0x00
0,Register 41,DAC OUTPUT SWITCHING CONTROL,0x29,0x02
0,Register 42,HP OUPUT DRIVER POP REDUCTION,0x2A,0x00
0,Register 43,LEFT DAC DIGITAL VOLUME CONTROL,0x2B,0x00
0,Register 44,RIGHT DAC DIGITAL VOLUME CONTROL,0x2C,0x80
0,Register 45,RESERVED,0x2D,0x00
0,Register 46,PGA_L TO HPLOUT,0x2E,0x00
0,Register 47, DAC_L1 TO HPLOUT,0x2F,0x80
0,Register 48,RESERVED,0x30,0x00
0,Register 49,PGA_R TO HPLOUT,0x31,0x00
0,Register 50,DAC_R1 TO HPLOUT,0x32,0x00
0,Register 51,HPLOUT OUTPUT CONTROL,0x33,0x0F
0,Register 52,RESERVED,0x34,0x00
0,Register 53,PGA_L TO HPLCOM,0x35,0x00
0,Register 54,DAC_L1 TO HPLCOM,0x36,0x00
0,Register 55,RESERVED,0x37,0x00
0,Register 56,PGA_R TO HPLCOM,0x38,0x00
0,Register 57,DAC_R1 TO HPLCOM,0x39,0x00
0,Register 58,HPLCOM OUTPUT CONTROL,0x3A,0x06
0,Register 59,RESERVED,0x3B,0x00
0,Register 60,PGA_L TO HPROUT,0x3C,0x00
0,Register 61,DAC_L1 TO HPROUT,0x3D,0x00
0,Register 62,RESERVED,0x3E,0x00
0,Register 63,PGA_R TO HPROUT,0x3F,0x00
0,Register 64,DAC_R1 TO HPROUT,0x40,0x80
0,Register 65,HPROUT OUTPUT CONTROL,0x41,0x0F
0,Register 66,RESERVED,0x42,0x00
0,Register 67,PGA_L TO HPRCOM,0x43,0x00
0,Register 68,DAC_L1 TO HPRCOM,0x44,0x00
0,Register 69,RESERVED,0x45,0x00
0,Register 70,PGA_R TO HPRCOM,0x46,0x00
0,Register 71,DAC_R1 TO HPRCOM,0x47,0x00
0,Register 72,HPRCOM OUTPUT CONTROL,0x48,0x06
0,Register 73,RESERVED,0x49,0x00
0,Register 74,RESERVED,0x4A,0x00
0,Register 75,RESERVED,0x4B,0x00
0,Register 76,RESERVED,0x4C,0x00
0,Register 77,RESERVED,0x4D,0x00
0,Register 78,RESERVED,0x4E,0x00
0,Register 79,RESERVED,0x4F,0x00
0,Register 80,RESERVED,0x50,0x00
0,Register 81,PGA_L TO LEFT LINE OUTPUT,0x51,0x00
0,Register 82,DAC_L1 TO LEFT LINE OUTPUT,0x52,0x00
0,Register 83,RESERVED,0x53,0x00
0,Register 84,PGA_R TO LEFT LINE OUTPUT,0x54,0x00
0,Register 85,DAC_R1 TO LEFT LINE OUTPUT,0x55,0x00
0,Register 86,LEFT LINE OUTPUT CONTROL,0x56,0x00
0,Register 87,RESERVED,0x57,0x00
0,Register 88,PGA_L TO RIGHT LINE OUTPUT,0x58,0x00
0,Register 89,DAC_L1 TO RIGHT LINE OUTPUT,0x59,0x00
0,Register 90,RESERVED,0x5A,0x00
